Objname,RAdeg,DEdeg,YSO_CLASS,W2magMean,r_mean,r_priority,fading_mag_per_year,is_fading,fading_status,color_change_1yr,is_reddening_bluing,color_status,baseline_days
J181806.81-165119.7,274.528462,-16.855522,FS,8.45,17.14244225009346,TOO_FAINT,0.3491990311876855,True,FADING (brightening in mag = getting dimmer),0.13423593372419812,True,REDDENING (Δ(g-r) = +0.13 mag/yr),989.1012802974874
J222542.49+574059.4,336.427003,57.683187,ClassI,11.23,13.888024299754827,HIGH,-1.063219633172062,False,BRIGHTENING (dimming in mag = getting brighter),0.032619651279980566,False,STABLE,979.4023185153856
J181122.84-171440.4,272.845308,-17.244593,ClassII,8.01,15.38956402890419,HIGH,-0.5031151538578089,False,BRIGHTENING (dimming in mag = getting brighter),0.07185480547257261,False,REDDENING (Δ(g-r) = +0.07 mag/yr),975.8053423588572
J224524.75+594652.6,341.353103,59.781274,FS,11.4,16.203977056835544,MEDIUM,-0.39754215323072134,False,BRIGHTENING (dimming in mag = getting brighter),0.1072266024178609,True,REDDENING (Δ(g-r) = +0.11 mag/yr),987.8576482729113
J221516.21+580743.5,333.817529,58.128808,FS,12.11,16.928834340389116,LOW,0.26613341423172654,True,FADING (brightening in mag = getting dimmer),0.04819685492055953,False,REDDENING (Δ(g-r) = +0.05 mag/yr),961.0610645586567
J192949.89+172150.2,292.457966,17.363992,FS,10.41,14.722103309440923,HIGH,-0.35672937752818035,False,BRIGHTENING (dimming in mag = getting brighter),-0.05104282191234396,False,BLUEING (Δ(g-r) = -0.05 mag/yr),922.9986661770527
J221338.67+594948.1,333.411073,59.830029,ClassI,12.34,14.749983207872802,HIGH,0.7432999659028039,True,FADING (brightening in mag = getting dimmer),-0.0398144177073954,False,BLUEING (Δ(g-r) = -0.04 mag/yr),983.2964190760322
J185651.71+032208.3,284.21545,3.369033,FS,8.71,12.137478160125504,HIGH,-0.9436385922564796,False,BRIGHTENING (dimming in mag = getting brighter),-0.07405947380860015,False,BLUEING (Δ(g-r) = -0.07 mag/yr),984.5439347606007
J191325.01+123749.8,288.354263,12.63048,ClassIII,10.13,15.16875633986145,HIGH,0.257409268629295,True,FADING (brightening in mag = getting dimmer),0.05198036441952063,False,REDDENING (Δ(g-r) = +0.05 mag/yr),995.5023008098287
J203647.31+413343.3,309.197123,41.562035,ClassI,8.75,12.393740274584502,HIGH,-0.7921213855968146,False,BRIGHTENING (dimming in mag = getting brighter),-0.2810964726775469,True,BLUEING (Δ(g-r) = -0.28 mag/yr),990.5538688643283
J204120.56+421407.6,310.335722,42.235464,ClassII,11.5,15.22772356193976,HIGH,-0.8836286162075391,False,BRIGHTENING (dimming in mag = getting brighter),0.033369708142669645,False,STABLE,952.4344075223125
J185209.34+002435.9,283.03888,0.410034,FS,9.95,17.41331543750462,TOO_FAINT,-0.01810500089015647,False,STABLE,-0.016295605942792862,False,STABLE,981.8659524508475
J194227.09+225941.1,295.612969,22.994788,ClassII,10.11,16.05126790081867,MEDIUM,0.4947891142048487,True,FADING (brightening in mag = getting dimmer),-0.10737153479626318,True,BLUEING (Δ(g-r) = -0.11 mag/yr),980.8696873438894
J173550.10-282204.1,263.958795,-28.367788,ClassII,8.89,15.001095909563206,HIGH,-0.5409600637406021,False,BRIGHTENING (dimming in mag = getting brighter),-0.03580580623525694,False,STABLE,974.1597735631512
J190720.18+052806.7,286.834043,5.468572,ClassII,9.23,15.324350418343133,HIGH,-0.1727074188104982,False,BRIGHTENING (dimming in mag = getting brighter),-0.048648319836816535,False,BLUEING (Δ(g-r) = -0.05 mag/yr),930.6697090240268
J185825.44+032832.2,284.60597,3.475672,ClassII,10.37,13.181774192796807,HIGH,-0.8442339306198929,False,BRIGHTENING (dimming in mag = getting brighter),-0.05070888065194934,False,BLUEING (Δ(g-r) = -0.05 mag/yr),985.8603330577462
J191301.04+120911.2,288.254243,12.153281,ClassII,10.19,16.45116474505709,MEDIUM,0.12680970091380192,False,FADING (brightening in mag = getting dimmer),-0.15675238692694135,True,BLUEING (Δ(g-r) = -0.16 mag/yr),980.7898457961055
J203706.61+410512.2,309.277561,41.086724,ClassIII,11.09,14.048098133274406,HIGH,0.5483166891186358,True,FADING (brightening in mag = getting dimmer),0.04343339093492223,False,REDDENING (Δ(g-r) = +0.04 mag/yr),973.3334725086243
J224723.12+591947.7,341.846084,59.329782,ClassII,12.4,17.872772505643514,TOO_FAINT,0.3902216701477678,True,FADING (brightening in mag = getting dimmer),-0.02156199254831477,False,STABLE,985.6463835448012
J185010.35+011057.8,282.543139,1.182788,ClassII,8.89,13.614741821153846,HIGH,-0.6367405575085334,False,BRIGHTENING (dimming in mag = getting brighter),0.08801039366656034,False,REDDENING (Δ(g-r) = +0.09 mag/yr),984.2145556783798
J190020.90+035614.2,285.087032,3.937275,ClassIII,10.63,14.46020243365788,HIGH,0.027111878864062404,False,STABLE,-0.03912758548045218,False,BLUEING (Δ(g-r) = -0.04 mag/yr),986.3180739553354
J215636.35+580242.8,329.151455,58.045259,FS,9.04,16.87661576202837,LOW,0.7072176029719514,True,FADING (brightening in mag = getting dimmer),-0.015874578870170637,False,STABLE,975.0824383096478
J175244.86-262246.6,268.186934,-26.379652,FS,8.8,16.485223873116823,MEDIUM,0.023791770579288607,False,STABLE,-0.004005941109063653,False,STABLE,917.165004767041
J192847.91+165520.7,292.19978,16.922336,ClassII,10.96,14.400509297166735,HIGH,0.5702725005129302,True,FADING (brightening in mag = getting dimmer),-0.12809790297466636,True,BLUEING (Δ(g-r) = -0.13 mag/yr),963.7137407083064
J182244.41-131048.4,275.685152,-13.180119,ClassII,7.02,16.855629041589175,LOW,0.07462327199123443,False,FADING (brightening in mag = getting dimmer),-0.08758347299682041,False,BLUEING (Δ(g-r) = -0.09 mag/yr),971.6736628943327
J192610.65+160904.8,291.544469,16.151363,FS,8.36,17.399927645908257,TOO_FAINT,-0.17540144362860702,False,BRIGHTENING (dimming in mag = getting brighter),0.013237940241508317,False,STABLE,953.3242592908719
J185845.30+015021.7,284.688741,1.839354,ClassII,9.27,18.0660451610412,TOO_FAINT,0.3410199822446026,True,FADING (brightening in mag = getting dimmer),0.24157445883109616,True,REDDENING (Δ(g-r) = +0.24 mag/yr),972.0892325265158
J190308.44+054039.5,285.785183,5.677702,ClassII,10.55,17.133848389968882,TOO_FAINT,0.4249526689516877,True,FADING (brightening in mag = getting dimmer),-0.09365437723067029,False,BLUEING (Δ(g-r) = -0.09 mag/yr),974.2051889071008
J190457.80+052120.5,286.240759,5.355672,ClassI,9.42,15.944322093831241,MEDIUM,-1.03814796328494,False,BRIGHTENING (dimming in mag = getting brighter),-0.045896648108729086,False,BLUEING (Δ(g-r) = -0.05 mag/yr),987.9520910659339
J184710.54-071820.7,281.793882,-7.30579,FS,11.7,13.460081027922064,HIGH,0.10933451996154894,False,FADING (brightening in mag = getting dimmer),0.01248478621832534,False,STABLE,953.6846747997188
J194210.68+234359.0,295.544614,23.733069,ClassII,9.07,18.306412754580684,TOO_FAINT,0.7560516149915782,True,FADING (brightening in mag = getting dimmer),-0.436078531792578,True,BLUEING (Δ(g-r) = -0.44 mag/yr),800.9596053053319
J223627.69+593249.2,339.115322,59.547007,ClassI,11.39,12.93103061398209,HIGH,-0.8351561828548347,False,BRIGHTENING (dimming in mag = getting brighter),-0.05386585605690713,False,BLUEING (Δ(g-r) = -0.05 mag/yr),978.4744498476648
J191649.58+121420.9,289.20671,12.239217,ClassIII,12.25,15.538968014344698,MEDIUM,0.7741424944369526,True,FADING (brightening in mag = getting dimmer),-0.3958941149868751,True,BLUEING (Δ(g-r) = -0.40 mag/yr),853.3797833727076
J185625.51+015916.5,284.106331,1.988013,ClassII,9.32,14.846233691289884,HIGH,-0.2404363421498934,False,BRIGHTENING (dimming in mag = getting brighter),0.14374279936982004,True,REDDENING (Δ(g-r) = +0.14 mag/yr),939.8917892826139
J190159.18+035214.6,285.496564,3.870892,ClassII,10.85,16.898785640332573,LOW,-0.11169890061924546,False,BRIGHTENING (dimming in mag = getting brighter),0.0794107421950222,False,REDDENING (Δ(g-r) = +0.08 mag/yr),983.782549222582
J181446.75-203518.2,273.694828,-20.588351,ClassI,9.48,12.668522708225698,HIGH,-0.032574290291077855,False,STABLE,-0.29090536379481585,True,BLUEING (Δ(g-r) = -0.29 mag/yr),988.8142846152696
J185943.04+030901.1,284.929159,3.150427,ClassII,10.32,14.410951881955969,HIGH,-1.103007355319826,False,BRIGHTENING (dimming in mag = getting brighter),0.26429002816798214,True,REDDENING (Δ(g-r) = +0.26 mag/yr),953.7492348732267
J181612.85-113808.9,274.053483,-11.635892,FS,11.41,16.290247449286458,MEDIUM,0.5561745822291155,True,FADING (brightening in mag = getting dimmer),0.04907074250716823,False,REDDENING (Δ(g-r) = +0.05 mag/yr),907.5936807567487
J185730.17+030916.4,284.375672,3.154629,ClassIII,9.32,14.227564055501459,HIGH,-0.26202340860869333,False,BRIGHTENING (dimming in mag = getting brighter),0.027967409050197022,False,STABLE,966.1028163157316
J202336.64+383534.4,305.902585,38.592948,ClassIII,13.1,16.096253220989738,MEDIUM,-0.675779137902991,False,BRIGHTENING (dimming in mag = getting brighter),0.03384308701468529,False,STABLE,839.6817065544747
J184708.66+000455.0,281.786031,0.082005,ClassI,7.85,14.49203817942009,HIGH,-0.06905484794045387,False,BRIGHTENING (dimming in mag = getting brighter),0.006223912163835544,False,STABLE,960.7629281382833
J181908.34-105743.5,274.784783,-10.961962,ClassI,11.56,14.220439889421424,HIGH,-0.2660577369286745,False,BRIGHTENING (dimming in mag = getting brighter),0.09705416893334971,False,REDDENING (Δ(g-r) = +0.10 mag/yr),980.9610150166482
J181738.72-205431.0,274.411408,-20.908615,ClassII,8.05,13.235658960469278,HIGH,-0.19613097294887258,False,BRIGHTENING (dimming in mag = getting brighter),-0.08101492414114549,False,BLUEING (Δ(g-r) = -0.08 mag/yr),978.0537726429247
J174918.02-271116.6,267.325147,-27.18799,ClassII,8.15,14.920269516527554,HIGH,-0.6849107392759116,False,BRIGHTENING (dimming in mag = getting brighter),-0.08775664596345296,False,BLUEING (Δ(g-r) = -0.09 mag/yr),976.5530130290645
J215550.45+575628.8,328.960267,57.94132,ClassII,8.53,15.2561271813072,HIGH,0.3068630733824328,True,FADING (brightening in mag = getting dimmer),0.18500937883740187,True,REDDENING (Δ(g-r) = +0.19 mag/yr),987.5473055581679
J190506.40+063421.5,286.276734,6.57265,ClassII,7.79,17.240770345026487,TOO_FAINT,0.149924578781538,False,FADING (brightening in mag = getting dimmer),0.03839331533859115,False,REDDENING (Δ(g-r) = +0.04 mag/yr),948.4844034750859
J175153.38-295130.9,267.972542,-29.858622,ClassII,8.97,15.065060101249976,HIGH,0.8111367553090164,True,FADING (brightening in mag = getting dimmer),-0.4785666908843968,True,BLUEING (Δ(g-r) = -0.48 mag/yr),943.978389016731
J185516.74+020752.0,283.819756,2.131227,FS,7.99,12.526786840911235,HIGH,-0.3849306029570666,False,BRIGHTENING (dimming in mag = getting brighter),0.3556157711536622,True,REDDENING (Δ(g-r) = +0.36 mag/yr),968.1585548545918
J190027.91+044031.0,285.116253,4.675534,ClassII,10.41,16.28429737715701,MEDIUM,0.5514974110173148,True,FADING (brightening in mag = getting dimmer),-0.04734646410810104,False,BLUEING (Δ(g-r) = -0.05 mag/yr),989.0466173553577
J185128.76+005752.6,282.869787,0.96471,ClassI,10.07,14.730001845275309,HIGH,-0.8644177162914591,False,BRIGHTENING (dimming in mag = getting brighter),0.03037181827816046,False,STABLE,979.0612345419795
J182604.56-125145.6,276.519139,-12.862663,ClassI,9.57,14.63894232657393,HIGH,0.4369799906134433,True,FADING (brightening in mag = getting dimmer),0.04757841325382619,False,REDDENING (Δ(g-r) = +0.05 mag/yr),960.220786992184
J185707.67+020902.7,284.28195,2.1508,ClassII,10.0,13.032864679924865,HIGH,-0.26640574687566426,False,BRIGHTENING (dimming in mag = getting brighter),0.02591852436434472,False,STABLE,970.2706083591474
J193238.81+171758.4,293.161735,17.299526,FS,8.56,14.210485059676158,HIGH,-1.0401530966708443,False,BRIGHTENING (dimming in mag = getting brighter),-0.1319067919825399,True,BLUEING (Δ(g-r) = -0.13 mag/yr),984.0716844899725
J184607.42-035301.0,281.530717,-3.88347,ClassII,10.71,14.495442657093916,HIGH,-0.4569592657897483,False,BRIGHTENING (dimming in mag = getting brighter),-0.17718568567223322,True,BLUEING (Δ(g-r) = -0.18 mag/yr),958.6047935350944
J194320.31+230044.8,295.834734,23.012463,FS,10.6,15.532050650010321,MEDIUM,0.542197165111519,True,FADING (brightening in mag = getting dimmer),0.036223223879627786,False,STABLE,909.1805045991932
J192031.51+122414.0,290.131302,12.404119,FS,9.6,13.173406614232087,HIGH,-0.9706180480460823,False,BRIGHTENING (dimming in mag = getting brighter),-0.010368002593981782,False,STABLE,994.2124354828775
J192640.61+155339.9,291.669282,15.894437,FS,10.2,13.742620060533914,HIGH,-0.15409912046061808,False,BRIGHTENING (dimming in mag = getting brighter),0.31971574236279005,True,REDDENING (Δ(g-r) = +0.32 mag/yr),948.8987307576099
J181957.53-161204.8,274.989763,-16.201388,ClassII,7.12,17.248453368933323,TOO_FAINT,0.4187558549929261,True,FADING (brightening in mag = getting dimmer),-0.16400059605098244,True,BLUEING (Δ(g-r) = -0.16 mag/yr),983.8372177522906
J191032.52+094720.3,287.635579,9.788977,ClassII,7.59,15.317905510090375,HIGH,0.21023751817289102,True,FADING (brightening in mag = getting dimmer),0.2201978341001794,True,REDDENING (Δ(g-r) = +0.22 mag/yr),959.7652563961237
J184805.23-034402.7,282.021583,-3.734044,ClassIII,10.26,15.364909650091981,HIGH,-0.42977709231330957,False,BRIGHTENING (dimming in mag = getting brighter),-0.06467731374502012,False,BLUEING (Δ(g-r) = -0.06 mag/yr),954.8682815205393
J180417.87-225206.9,271.074493,-22.86864,FS,7.79,14.645607481669877,HIGH,0.3248385017657274,True,FADING (brightening in mag = getting dimmer),0.06738725527318602,False,REDDENING (Δ(g-r) = +0.07 mag/yr),978.8060326524355
J223210.37+582338.9,338.043218,58.394125,ClassI,10.32,16.138690635747775,MEDIUM,0.17314557880691656,False,FADING (brightening in mag = getting dimmer),-0.03850056796750822,False,BLUEING (Δ(g-r) = -0.04 mag/yr),936.6572435304552
J190615.48+072853.6,286.564321,7.481451,ClassI,10.13,15.925872193378082,MEDIUM,0.2898716590124118,True,FADING (brightening in mag = getting dimmer),-0.09470252145677875,False,BLUEING (Δ(g-r) = -0.09 mag/yr),975.0878152974401
J204042.42+395749.9,310.176868,39.963931,ClassIII,12.52,16.350908903646133,MEDIUM,0.4057777232511483,True,FADING (brightening in mag = getting dimmer),-0.09522003171961438,False,BLUEING (Δ(g-r) = -0.10 mag/yr),973.1202116385684
J224658.81+614539.4,341.744999,61.760989,ClassIII,11.95,13.733657252670499,HIGH,0.15066474575065283,False,FADING (brightening in mag = getting dimmer),-0.2602710660929762,True,BLUEING (Δ(g-r) = -0.26 mag/yr),909.9579105803859
J185209.29+011159.7,283.038733,1.199961,ClassII,10.47,15.445633407883717,HIGH,-0.3402322553411769,False,BRIGHTENING (dimming in mag = getting brighter),0.00392355236802946,False,STABLE,903.3044523881254
J190329.44+042938.1,285.872842,4.493861,ClassIII,11.19,13.011949840351262,HIGH,-0.9099525452627027,False,BRIGHTENING (dimming in mag = getting brighter),-0.22941079216559754,True,BLUEING (Δ(g-r) = -0.23 mag/yr),955.9402843956996
J204324.29+422934.4,310.851265,42.49289,ClassIII,12.41,13.084385340542084,HIGH,-0.17517788743668597,False,BRIGHTENING (dimming in mag = getting brighter),0.00655952158459298,False,STABLE,967.702249924856
J190406.64+050853.3,286.027728,5.1482,ClassI,9.66,14.93703898405986,HIGH,-0.7889456762727383,False,BRIGHTENING (dimming in mag = getting brighter),0.023685829389407102,False,STABLE,974.3792509502455
